kode_usul,kodeCabang,nama_usul,initial,tipe,jumlah_kemunculan,keyakinan,alasan
KP-ARP,999,KP-ARP,ARP,KANTOR_PUSAT,1,TINGGI,"Ditemukan di histori (1x kemunculan); nama unit kerja lengkap belum ada, pakai kode sementara"
KP-BRK,999,KP-BRK,BRK,KANTOR_PUSAT,1,TINGGI,"Ditemukan di histori (1x kemunculan); nama unit kerja lengkap belum ada, pakai kode sementara"
KP-DJP,999,KP-DJP,DJP,KANTOR_PUSAT,2,TINGGI,"Ditemukan di histori (2x kemunculan); nama unit kerja lengkap belum ada, pakai kode sementara"
KP-DOTI,999,KP-DOTI,DOTI,KANTOR_PUSAT,2,TINGGI,"Ditemukan di histori (2x kemunculan); nama unit kerja lengkap belum ada, pakai kode sementara"
KP-DTI,999,KP-DTI,DTI,KANTOR_PUSAT,2,TINGGI,"Ditemukan di histori (2x kemunculan); nama unit kerja lengkap belum ada, pakai kode sementara"
KP-HSD,999,KP-HSD,HSD,KANTOR_PUSAT,1,TINGGI,"Ditemukan di histori (1x kemunculan); nama unit kerja lengkap belum ada, pakai kode sementara"
KP-LOG,999,KP-LOG,LOG,KANTOR_PUSAT,79,TINGGI,"Ditemukan di histori (79x kemunculan); nama unit kerja lengkap belum ada, pakai kode sementara"
KP-MRK,999,KP-MRK,MRK,KANTOR_PUSAT,2,TINGGI,"Ditemukan di histori (2x kemunculan); nama unit kerja lengkap belum ada, pakai kode sementara"
KP-PPA,999,KP-PPA,PPA,KANTOR_PUSAT,4,TINGGI,"Ditemukan di histori (4x kemunculan); nama unit kerja lengkap belum ada, pakai kode sementara"
KP-SPK,999,KP-SPK,SPK,KANTOR_PUSAT,1,TINGGI,"Ditemukan di histori (1x kemunculan); nama unit kerja lengkap belum ada, pakai kode sementara"
W1L5-DMR,999,W1L5-DMR,DMR,WISMA,2,TINGGI,"Ditemukan di histori (2x kemunculan); label deskriptif belum ada, pakai kode sementara"
W2L7-LOG,999,W2L7-LOG,LOG,WISMA,7,TINGGI,"Ditemukan di histori (7x kemunculan); label deskriptif belum ada, pakai kode sementara"
